id,zip,city,state,city_type,zip_type,latitude,longitude,header_title,meta_description,meta_keywords,page_header,page_description,url_name
33977,77808,Bryan,TX,D,S,30.7047150,-96.3355830,,,,,,
33978,77830,Anderson,TX,D,S,30.5563200,-96.0190800,,,,,,
33979,77831,Bedias,TX,D,S,30.7473320,-95.9219350,,,,,,
33980,77833,Brenham,TX,D,S,30.2168400,-96.3964200,,,,,,
33981,77834,Brenham,TX,D,P,30.1681110,-96.3978230,,,,,,
33982,77835,Burton,TX,D,S,30.1761760,-96.6099650,,,,,,
33983,77836,Caldwell,TX,D,S,30.5654020,-96.7491860,,,,,,
33984,77837,Calvert,TX,D,S,30.9761700,-96.6677910,,,,,,
33985,77838,Chriesman,TX,D,P,30.6000840,-96.7724510,,,,,,
33986,77840,College Station,TX,D,S,30.6035830,-96.3110810,,,,,,
33987,77841,College Station,TX,D,P,30.5728080,-96.3263880,,,,,,
33988,77842,College Station,TX,D,P,30.6299600,-96.3332120,,,,,,
33989,77843,College Station,TX,D,U,30.6113310,-96.3483730,,,,,,
33990,77844,College Station,TX,D,P,30.6107190,-96.3547310,,,,,,
33991,77845,College Station,TX,D,S,30.5835110,-96.2942770,,,,,,
33992,77850,Concord,TX,D,P,31.2573200,-96.1170890,,,,,,
33993,77852,Deanville,TX,D,P,30.4313740,-96.7571760,,,,,,
33994,77853,Dime Box,TX,D,S,30.1704130,-96.9797000,,,,,,
33995,77855,Flynn,TX,D,P,31.1497910,-96.1244320,,,,,,
33996,77856,Franklin,TX,D,S,31.0295180,-96.4853400,,,,,,
33997,77857,Gause,TX,D,P,30.7838300,-96.7222370,,,,,,
33998,77859,Hearne,TX,D,S,30.8763810,-96.5965240,,,,,,
33999,77861,Iola,TX,D,S,30.6760010,-96.1308100,,,,,,
34000,77862,Kurten,TX,D,P,30.7847540,-96.2651590,,,,,,
34001,77863,Lyons,TX,D,P,30.3873130,-96.5612850,,,,,,
34002,77864,Madisonville,TX,D,S,30.9755400,-95.9007000,,,,,,
34003,77865,Marquez,TX,D,S,31.2206410,-96.2369020,,,,,,
34004,77866,Millican,TX,D,P,30.4659390,-96.2037730,,,,,,
34005,77867,Mumford,TX,D,P,30.7317670,-96.5652950,,,,,,
34006,77868,Navasota,TX,D,S,30.3888740,-96.0845430,,,,,,
34007,77869,Navasota,TX,D,U,30.3874230,-96.0871820,,,,,,
34008,77870,New Baden,TX,D,P,31.0490130,-96.4256120,,,,,,
34009,77871,Normangee,TX,D,S,31.0888200,-96.1533000,,,,,,
34010,77872,North Zulch,TX,D,S,30.9535200,-96.0904200,,,,,,
34011,77873,Richards,TX,D,S,30.5486880,-95.8628400,,,,,,
